NDA,Generic Name ,DDI annotation based on study criteria,Total number of mechanisms per OAD according to study criteria,Additional DDI annotations based on mechanisms that did not meet study criteria but have actionable recommendations in U.S. Food and Drug Administration drug labels ,DDI mechanisms identified by study criteria but do not have actionable FDA recommendations,Final DDI annotation,Brand Name,Class,Date Approved,# of DDI Studies,Drug 1,P/V?,Type,CMaxR,AUCR,Source,Drug 2,P/V?,Type,CMaxR,AUCR,Source,Drug 3,P/V?,Type,CMaxR,AUCR,Source,Drug 4,P/V?,Type,CMaxR,AUCR,Source,Drug 5,P/V?,Type,CMaxR,AUCR,Source,Drug 6,P/V?,Type,CMaxR,AUCR,Source,Drug 7,P/V?,Type,CMaxR,AUCR,Source,Drug 8,P/V?,Type,CMaxR,AUCR,Source,Drug 9,P/V?,Type,CMaxR,AUCR,Source,Drug 10,P/V?,Type,CMaxR,AUCR,Source,Drug 11,P/V?,Type,CMaxR,AUCR,Source,Drug 12,P/V?,Type,CMaxR,AUCR,Source,Drug 13,P/V?,Type,CMaxR,AUCR,Source,Drug 14,P/V?,Type,CMaxR,AUCR,Source,Drug 15,P/V?,Type,CMaxR,AUCR,Source,Drug 16,P/V?,Type,CMaxR,AUCR,Source,Drug 17,P/V?,Type,CMaxR,AUCR,Source,Drug 18,P/V?,Type,CMaxR,AUCR,Source,Drug 19,P/V?,Type,CMaxR,AUCR,Source,Drug 20,P/V?,Type,CMaxR,AUCR,Source,Drug 21,P/V?,Type,CMaxR,AUCR,Source,Drug 22,P/V?,Type,CMaxR,AUCR,Source
211288,Dacomitinib,Strong CYP2D6 Inhibitor,1,Affected by PPIs,None,"Strong CYP2D6 Inhibitor, Affected by PPIs",Vizimpro,TKI,27/09/18,3,Paroxetine,Vic,DDI,1.1,1.37,"FDA Label, PMID: 24293056",Dextromethorphan,Perp,DDI,9.73,9.55,"FDA Label, PMID: 22147075",Rabeprazole,Vic,DDI,0.5,0.71,"FDA Label, PMID: 26179237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212099,Darolutamide,"Victim with strong and moderate inducers, Strong BCRP and/or OATP1B1/3 inhibitor",2,None,None,Victim with strong and moderate inducers; Strong BCRP inhibitor; Strong OATP1B inhibitor,Nubeqa,Androgen Receptor Inhibitor,30/07/19,7,Rifampin (M),Vic,DDI,0.48,0.28,"FDA Label, PMID: 31571146","""Moderate CYP3A4 Inducer""",Vic,PBPK,,0.42,FDA Label,Itraconazole,Vic,DDI,1.4,1.7,"FDA Label, PMID: 31571146",Midazolam,Perp,DDI,0.68,0.71,"FDA Label, PMID: 31571146",Rosuvastatin,Perp,DDI,5,5,"FDA Label, PMID: 31571146",Docetaxel,Both,DDI,"NC, NC","NC, NC",FDA Label,Dabigatran,Perp,DDI,0.84,0.91,"FDA Label, PMID: 31571146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21986,Dasatinib,"Moderately sensitive CYP3A substrate, victim with strong inducers, Moderate victim with acid reducers (antacids, H2RAs)",3,Affected by PPIs,None,"Moderately sensitive CYP3A substrate, victim with strong inducers, Affected by acid reducers (PPIs, antacids, H2RAs)",Sprycel,TKI (BCR-ABL),28/06/06,8,Rifampin (M),Vic,DDI,0.19,0.18,FDA Label,Ketoconazole,Vic,DDI,3.56,4.84,"FDA Label, PMID: 20108303",Al OH + Mg OH,Vic,DDI,0.42,0.45,"FDA Label, PMID: 19395585",Famotidine,Vic,DDI,0.37,0.39,"FDA Label, PMID: 19395585",Omeprazole,Vic,DDI,0.58,0.57,"FDA Label, PMID: 37503797",Metformin,Perp,PBPK,1.05,1.06,PMID: 35147740,Pravastatin,Perp,PBPK,1,1,PMID: 35147740,Rosuvastatin,Perp,PBPK,1,1,PMID: 35147740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212576,Decitabine + Cedazuridine,None,0,None,None,None,Inqovi,Nucleoside Metabolic Inhibitor; Cytidine Deaminase Inhibitor,07/07/20,1,PPIs,Vic,POPPK,NC,NC,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211155,Duvelisib,"Moderately sensitive CYP3A Substrate, Moderate CYP3A Inhibitor, victim with strong inducers",3,Victim with moderate inducers,None,"Moderately sensitive CYP3A Substrate, Moderate CYP3A Inhibitor, victim with strong and moderate inducers",Copiktra,PI3K Inhib,24/09/18,4,Rifampin (M),Vic,DDI,0.34,0.18,FDA Label,Etravirine,Vic,DDI,0.84,0.65,FDA Label,Ketoconazole,Vic,DDI,1.7,4,FDA Label,Midazolam,Perp,DDI,2.2,4.3,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217639,Elacestrant,"Strongly sensitive CYP3A substrate, victim with strong and moderate inducers",2,"P-gp inhibitor, BCRP inhibitor",None,"Strongly sensitive CYP3A substrate, victim with strong and moderate inducers, P-gp inhibitor, BCRP inhibitor",Orserdu,SERD,27/01/23,9,Rifampin (M),Vic,DDI,0.27,0.14,FDA Label,Efavirenz,Vic,PBPK,0.37,0.27,FDA Label,Itraconazole,Vic,DDI,4.4,5.3,FDA Label,Fluconazole,Vic,PBPK,1.6,2.3,FDA Label,Cimetidine,Vic,DDI,NC,NC,FDA Label,Omeprazole,Vic,DDI,NC,NC,FDA Label,Warfarin,Vic,DDI,NC,NC,FDA Label,Digoxin,Perp,DDI,1.3,1.1,FDA Label,Rosuvastatin,Perp,DDI,1.5,1.2,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209606,Enasidenib,"Strong CYP1A2 inhibitor, Moderate BCRP and/or OATP1B1/3 inhibitor",2,"CYP2C19 inhibitor, CYP3A inducer",None,Strong CYP1A2 inhibitor; Moderate BCRP inhibitor; Moderate OATP1B inhibitor; CYP2C19 inhibitor; CYP3A inducer,Idhifa,IDH2 Inhibitor,01/08/17,8,Caffeine,Perp,DDI,1.18,7.55,FDA Label,Omeprazole,Perp,DDI,1.47,1.86,FDA Label,Dextromethorphan,Perp,DDI,1.24,1.37,FDA Label,Midazolam,Perp,DDI,0.77,0.57,FDA Label,Flurbiprofen,Perp,DDI,NC,NC,FDA Label,Pioglitazone,Perp,DDI,NC,NC,FDA Label,Rosuvastatin,Perp,DDI,4.66,3.45,"FDA Label, PMID: 34617279",Digoxin,Perp,DDI,1.27,1.2,"FDA Label, PMID: 34617279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210496,Encorafenib,"Moderately sensitive CYP3A substrate, Strong CYP3A inducer",2,"Victim with strong inducers, BCRP and/or OATP1B1/3 inhibitor",None,Moderately sensitive CYP3A substrate; Strong CYP3A inducer; Victim with strong inducers; BCRP inhibitor; OATP1B inhibitor,Braftovi,"TKI (BRAF, CRAF, JNK1-3, LIMK1-2, MEK4, STK36)",27/06/18,10,Posaconazole,Vic,DDI,1.68,3,"FDA Label, PMID: 37837178",Diltiazem,Vic,DDI,1.45,2,"FDA Label, PMID: 37837178",Modafinil,Vic,DDI,0.8,0.76,FDA Label,Midazolam,Perp,DDI,0.26,0.18,FDA Label,Rabeprazole,Vic,DDI,NC,NC,"FDA Label, PMID: 37037186",Binimetinib,Perp,DDI,NC,NC,FDA Label,Cetuximab,Both,DDI,"NC, NC","NC, NC",FDA Label,Rosuvastatin,Perp,DDI,2.7,1.6,FDA Label,Fluconazole,Vic,PBPK,1.9,2.66,PMID: 37609899,Fluconazole,Vic,PBPK,1.9,2.66,PMID: 37609899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212725,Entrectinib,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",2,None,None,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",Rozlytrek,TKI,15/08/19,13,Rifampin (M),Vic,DDI,0.44,0.23,"FDA Label, PMID: 34417912",Efavirenz (moderate),Vic,PBPK,0.57,0.44,"FDA Label, PMID: 34495458",Itraconazole,Vic,DDI,1.73,6.04,"FDA Label, PMID: 34417912",Erythromycin,Vic,PBPK,2.89,3.4,"FDA Label, PMID: 34495458",Midazolam,Perp,DDI,0.79,1.5,"FDA Label, PMID: 34417912",Lansoprazole,Vic,DDI,0.77,0.75,"FDA Label, PMID: 32458089",Digoxin,Perp,DDI,1.28,1.18,"FDA Label, PMID: 34417912",Verapamil,Vic,PBPK,N/A,3.1,PMID: 34495458,Clarithromycin,Vic,PBPK,N/A,2.2,PMID: 34495458,Fluconazole,Vic,PBPK,N/A,2.3,PMID: 34495458,Diltiazem,Vic,PBPK,N/A,2.4,PMID: 34495458,Carbamazepine,Vic,PBPK,N/A,0.55,PMID: 34495458,Phenytoin,Vic,PBPK,N/A,0.21,PMID: 34495458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203415,Enzalutamide,"Moderate CYP2C8 substrate, Strong CYP3A inducer, Moderate CYP2C9 inducer, Moderate CYP2C19 inducer ",4,Victim with strong inducers,None,"Moderate CYP2C8 substrate, Strong CYP3A inducer, Moderate CYP2C9 inducer, Moderate CYP2C19 inducer, Victim with strong inducers",Xtandi,Androgen Receptor Inhibitor,31/08/12,14,Gemfibrozil,Vic,DDI,0.82,4.26,"FDA Label, PMID: 25929560",Rifampin (M),Vic,DDI,NC,0.63,FDA Label,Itraconazole,Vic,DDI,0.87,1.41,"FDA Label, PMID: 25929560",Midazolam,Perp,DDI,0.23,0.14,"FDA Label, PMID: 25929560",Warfarin,Perp,DDI,0.93,0.44,"FDA Label, PMID: 25929560",Omeprazole,Perp,DDI,0.38,0.3,"FDA Label, PMID: 25929560",Digoxin,Perp,DDI,1.17,1.35,"FDA Label, PMID: 35118821",Pioglitazone,Perp,DDI,0.82,1.2,"FDA Label, PMID: 25929560",Caffeine,Perp,DDI,NC,NC,FDA Label,Dextromethorphan,Perp,DDI,NC,NC,FDA Label,Rosuvastatin,Perp,DDI,1.03,0.86,"FDA Label, PMID: 35118821",Apixaban,Perp,PBPK,1.04,0.69,PMID: 37344637,Rivaroxaban,Perp,PBPK,0.76,0.57,PMID: 37344637,Cabazitaxel,Perp,DDI,0.7,0.77,PMID: 29150561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212018,Erdafitinib,Victim with strong inducers,1,"CYP3A substrate, CYP2C9 substrate, victim with moderate inducers",None,"CYP3A substrate, CYP2C9 substrate, victim with strong and moderate inducers",Balversa,TKI,12/04/19,4,Rifampin (M),Vic,PBPK,0.49,0.38,FDA Label,Fluconazole,Vic,DDI,1.21,1.48,"FDA Label, PMID: 31673875",Itraconazole,Vic,DDI,1.05,1.34,"FDA Label, PMID: 31673875",Digoxin,Perp,PBPK,1.45,N/A,PMID: 34273250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21743,Erlotinib,"Strongly sensitive CYP3A Substrate,  affected by ARAs (PPIs and H2RAs; Outcomes only), victim with strong and moderate inducers",3,"CYP 1A2 substrate, affected by antacids",None,"Strongly sensitive CYP3A Substrate,  affected by ARAs (PPIs and H2RAs, antacids), victim with strong and moderate inducers, CYP 1A2 substrate",Tarceva,TKI,18/11/04,13,Rifampin (M),Vic,DDI,0.34,0.19,"FDA Label, PMID: 24474302",Ketoconazole,Vic,DDI,2.02,1.86,FDA Label,Ciprofloxacin,Vic,DDI,1.17,1.39,FDA Label,Omeprazole,Vic,DDI,0.39,0.54,"FDA Label, PMID: 25643050",Ranitidine,Vic,DDI,0.46,0.67,"FDA Label, PMID: 25643050",Esomeprazole,Vic,DDI,0.44,0.53,PMID: 32557346,Temozolomide,Vic,DDI,1,1.17,PMID: 16443950,Capecitabine+docetaxel,Both,DDI,"0.95 (erl), 0.83 (doc), 0.63 (cap)","0.98 (erl), 0.88 (doc), 1.02 (cap)",PMID: 18249110,Vinflunine ,Both,DDI,N/A,"1.22 (vin), 1.17 (erl)",PMID: 24220936,Bevacizumab,Vic,DDI,0.86,0.76,PMID: 15753462,Darunavir/Ritonavir,Vic,PBPK,5.36,6.79,PMID: 27999009,Efavirenz,Vic,PBPK,0.42,0.31,PMID: 27999009,Etravirine,Vic,PBPK,0.82,0.78,PMID: 27999009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22334,Everolimus,"Strongly sensitive CYP3A substrate, victim with strong inducers",2,None,None,"Strongly sensitive CYP3A substrate, victim with strong inducers",Afinitor,mTOR Inhibitor,30/03/09,16,Ketoconazole,Vic,DDI,3.88,14.71,"FDA Label, PMID: 15831774",Erythromycin,Vic,DDI,2.02,4.51,"FDA Label, PMID: 20335831",Verapamil,Vic,DDI,2.24,3.4,"FDA Label, PMID: 16187976",Rifampin (M),Vic,DDI,0.41,0.38,"FDA Label, PMID: 12022896","Statins (atorva, prava, simva)",Perp,DDI,NC,NC,"FDA Label, PMID: 11831546",Midazolam,Perp,DDI,1.25,1.3,"FDA Label, PMID: 23426978",Exemestane,Perp,DDI,1.45,,FDA Label,Octreotide,Perp,DDI,1.5,,"FDA Label, PMID: 28032910","Carbamazepine, Clobazam, Oxcarbazepine, Clonazepam, Zonisamide, Valproic acid, Topiramate, Phenobarbital, Phenytoin",Perp,POPPK,"1.1 (carb, clob, oxc), NC (all others)",,FDA Label,Cannabidiol,Vic,DDI,2.5,2.45,PMID: 37132402,Letermovir,Vic,PBPK,1.3,2.5,PMID: 37085998,Alpelisib,Vic,DDI,1.12,0.88,PMID: 33964572,Lapatinib,Both,DDI,"1.05 (eve), 1.07 (lap)","1.22 (eve), 0.9 (lap)",PMID: 24057042,Tacrolimus,Vic,DDI,0.93,1.02,PMID: 17175302,Cyclosporine,Both,DDI,"1.82 (eve), 1.38 (cyc)","2.68 (eve), 1.43 (cyc)","PMID: 11808830, 11069439, 15951468",Letrozole,Perp,DDI,1.09,1.1,PMID: 18039566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20753,Exemestane,Victim with strong inducers,1,None,None,Victim with strong inducers,Aromasin,Aromatase Inhibitor,1999; Label date: 11/17/2021,3,Rifampin (M),Vic,DDI,0.59,0.46,FDA Label,Ketoconazole,Vic,DDI,NC,NC,FDA Label,Tamoxifen,Perp,DDI,1,1,PMID: 16361559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214801,Futibatinib,Victim with strong inducers,1,CYP3A substrate,None,"Victim with strong inducers, CYP3A substrate",Lytgobi,TKI,30/09/22,4,Rifampin (M),Vic,DDI,0.47,0.36,FDA Label,Itraconazole,Vic,DDI,1.51,1.41,FDA Label,Midazolam,Perp,DDI,1.08,1.05,FDA Label,Lansoprazole,Vic,DDI,1.08,1.05,"FDA Label, PMID: 36382853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206995,Gefitinib,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",2,"Affected by ARAs (PPIs, H2RAs, antacids)","Strongly sensitive CYP3A Substrate, victim with moderate inducers","Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers, Affected by ARAs (PPIs, H2RAs, antacids)",Iressa,TKI,13/07/15,12,Rifampin (M),Vic,DDI,0.35,0.17,"FDA Label, PMID: 16176119",Itraconazole,Vic,DDI,N/A,1.78,"FDA Label, PMID: 16176119",Metoprolol,Perp,DDI,1.12,1.35,"FDA Label, PMID: 16176119",Ranitidine,Vic,DDI,0.8,0.53,"FDA Label, PMID: 28579188",Darunavir/Ritonavir,Vic,PBPK,4.08,5.54,PMID: 27999009,Efavirenz,Vic,PBPK,0.31,0.24,PMID: 27999009,Etravirine,Vic,PBPK,0.7,0.65,PMID: 27999009,Docetaxel,Both,DDI,"0.95 (doc), 0.98 (gef)","0.95 (doc), 0.93 (gef)",PMID: 26233803,Phenytoin,Vic,DDI,0.74,0.53,PMID: 19694743,H2RAs,Vic,DDI,0.8,0.79,PMID: 28579188,PPIs,Vic,DDI,0.65,0.65,PMID: 28579188,Gemcitabine+Cisplatin,Both,DDI,0.90 (gem),"1.11 (gef), 0.90(gem)",PMID: 15111354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211349,Gilteritinib,"Moderately sensitive CYP3A substrate, victim with strong inducers",2,"P-gp, BCRP, and OCT1 inhibitor",None,Moderately sensitive CYP3A substrate; victim with strong inducers; P-gp inhibitor; BCRP inhibitor; OCT1 inhibitor,Xospata,TKI (FLT3),28/11/18,5,Rifampin (M),Vic,DDI,0.7,0.3,FDA Label,Itraconazole,Vic,DDI,1.2,2.2,FDA Label,Fluconazole,Vic,DDI,1.16,1.4,FDA Label,Midazolam,Perp,DDI,1.1,1.1,FDA Label,Cephalexin,Perp,DDI,1.1,1.1,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210656,Glasdegib,"Moderately sensitive CYP3A substrate, victim with strong and moderate inducers",2,None,None,"Moderately sensitive CYP3A substrate, victim with strong and moderate inducers",Daurismo,Hedgehog Inhibitor,21/11/18,4,Rifampin (M),Vic,DDI,0.65,0.3,"FDA Label, PMID: 29488303",Efavirenz,Vic,PBPK,0.75,0.45,"FDA Label, PMID: 37731282",Ketoconazole,Vic,DDI,1.4,2.4,"FDA Label, PMID: 24944041",Rabeprazole,Vic,DDI,0.81,1.01,"FDA Label, PMID: 30536154 and 29086063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205552,Ibrutinib,"Strongly sensitive CYP3A substrate, victim with strong and moderate inducers",2,None,Victim with moderate inducers,"Strongly sensitive CYP3A substrate, victim with strong and moderate inducers",Imbruvica,TKI (BTK),13/11/13,17,Rifampin (M),Vic,DDI,0.07,0.08,FDA Label,Efavirenz,Vic,PBPK,,0.33,FDA Label,Ketoconazole,Vic,DDI,29,24,FDA Label,Voriconazole,Vic,DDI,6.7,5.7,"FDA Label, PMID: 29846137",Posaconazole,Vic,PBPK,,10,FDA Label,Erythromycin,Vic,DDI,3.4,3.3,"FDA Label, PMID: 29846137",Bupropion,Perp,DDI,0.9,0.81,PMID: 32945596,Midazolam,Perp,DDI,1.04,0.75,PMID: 32945596,Ethinyl estradiol + levonorgestrel,Perp,DDI,"1.32 (EE), 1.07 (Lev)","1.29 (EE), 0.95 (Lev)",PMID: 32945596,Itraconazole,Vic,DDI,8.8,10,PMID: 31664782,Omeprazole,Vic,DDI,0.37,0.93,PMID: 29882017,Fluvoxamine,Vic,PBPK,2,1.9,PMID: 27367453,Azithromycin,Vic,PBPK,1.4,1.5,PMID: 27367453,Diltiazem,Vic,PBPK,4.7,4.9,PMID: 27367453,Clarithromycin,Vic,PBPK,12,14,PMID: 27367453,Carbamazepine,Vic,PBPK,0.14,0.18,PMID: 27367453,Ritonavir,Vic,PBPK,33,53.88,PMID: 37586436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205858,Idelalisib,"Strong CYP3A Inhibitor, victim with strong inducers",2,CYP3A substrate,None,"Strong CYP3A Inhibitor, victim with strong inducers, CYP3A substrate",Zydelig,PI3K Inhib,23/07/14,5,Rifampin (M),Vic,DDI,0.42,0.25,"FDA Label, PMID: 25760671",Ketoconazole,Vic,DDI,1.26,1.79,FDA Label,Midazolam,Perp,DDI,2.4,5.4,"FDA Label, PMID: 25760671",Rosuvastatin,Perp,DDI,1.15,1.03,"FDA Label, PMID: 25760671",Digoxin,Perp,DDI,1.24,1.04,"FDA Label, PMID: 25760671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21588,Imatinib,"Moderate CYP3A Inhibitor, victim with strong inducers",2,None,Moderate CYP3A Inhibitor ,"Moderate CYP3A Inhibitor, victim with strong inducers",Gleevec,TKI,18/04/03,15,Rifampin (M) ,Vic,DDI,0.46,0.26,"FDA Label, PMID: 14605865",EIAED,Vic,POPPK,↓ (not provided),0.27,FDA Label,Ketoconazole,Vic,DDI,1.26,1.4,"FDA Label, PMID: 15138710",Metoprolol,Perp,DDI,1.23,1.23,"FDA Label, PMID: 18384443",Simvastatin,Perp,DDI,2,3.5,"FDA Label, PMID: 14612892",Acetaminophen,Both,DDI,"0.85 (apap), NC (ima)","0.95 (apap), NC (ima)","FDA Label, PMID: 21219400",Bosentan,Both,DDI,"1.51 (bos), 0.67 (ima)",0.7 (ima),PMID: 25581063,Sildenafil,Perp,DDI,1.64,N/A,PMID: 25581063,Cyclosporine,Perp,DDI,1.94,N/A,PMID: 26965514,Gemfibrozil,Vic,DDI,0.65,0.93,PMID: 23657159,Calcium Carbonate,Vic,DDI,1.02,0.99,PMID: 24170263,Al and Mg OH,Vic,DDI,N/A,1.03,PMID: 18500518,St. John's Wort,Vic,DDI,0.71,0.68,"PMIDs: 15470331, 15537555",Docetaxel,Perp,DDI,0.85,0.97,PMID: 21350820,Ritonavir,Vic,DDI,N/A,0.97,PMID: 18094422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214622,Infigratinib,"Strongly sensitive CYP3A Substrate, victim with strong inducers",2,"Affected by ARAs (PPIs, H2RAs, antacids), victim with moderate inducers",None,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers, Affected by ARAs (PPIs, H2RAs, antacids), ",Truseltiq,TKI,28/05/21,4,Rifampin (M),Vic,DDI,0.56,0.44,FDA Label,Itraconazole,Vic,DDI,2.64,7.22,FDA Label,Midazolam,Perp,DDI,NC,0.9,FDA Label,Lansoprazole,Vic,DDI,0.51,0.55,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
